"Task","Cue","curColor","curMotion","TaskTransition","CueTransition","ResponseTransition","miniBlockSize","correctResponse","miniBlockTrial","miniBlock","Block",
2,2,1,2,1,1,0,3,2,1,17,1,
2,2,1,2,1,1,0,3,2,2,17,1,
2,2,2,2,1,1,0,3,2,3,17,1,
1,1,2,2,1,1,1,5,2,1,18,1,
1,1,2,2,1,1,1,5,2,2,18,1,
1,1,1,1,1,1,1,5,1,3,18,1,
1,1,2,1,1,1,1,5,2,4,18,1,
1,1,1,2,1,1,1,5,1,5,18,1,
2,2,1,2,1,1,1,5,2,1,19,1,
2,2,1,2,1,1,1,5,2,2,19,1,
2,2,1,2,1,1,0,5,2,3,19,1,
2,2,1,2,1,1,0,5,2,4,19,1,
2,2,2,1,1,1,1,5,1,5,19,1,
1,1,2,2,1,1,0,5,2,1,20,1,
1,1,2,2,1,1,0,5,2,2,20,1,
1,1,1,2,1,1,1,5,1,3,20,1,
1,1,1,1,1,1,0,5,1,4,20,1,
1,1,1,1,1,1,0,5,1,5,20,1,
1,2,1,1,0,1,0,3,1,1,21,1,
1,2,1,1,0,1,0,3,1,2,21,1,
1,2,2,2,0,1,1,3,2,3,21,1,
2,2,1,2,1,1,1,5,2,1,22,1,
2,2,1,2,1,1,1,5,2,2,22,1,
2,2,1,2,1,1,0,5,2,3,22,1,
2,2,2,2,1,1,0,5,2,4,22,1,
2,2,1,1,1,1,1,5,1,5,22,1,
1,1,1,2,1,0,0,4,1,1,23,1,
1,1,1,2,1,0,0,4,1,2,23,1,
1,1,1,1,1,0,0,4,1,3,23,1,
1,1,2,2,1,0,1,4,2,4,23,1,
2,1,2,2,1,0,1,4,2,1,24,1,
2,1,2,2,1,0,1,4,2,2,24,1,
2,1,2,2,1,0,0,4,2,3,24,1,
2,1,2,2,1,0,0,4,2,4,24,1,
1,1,2,1,1,0,1,5,2,1,25,1,
1,1,2,1,1,0,1,5,2,2,25,1,
1,1,1,2,1,0,1,5,1,3,25,1,
1,1,2,2,1,0,1,5,2,4,25,1,
1,1,2,2,1,0,0,5,2,5,25,1,
2,2,1,1,1,0,0,4,1,1,26,1,
2,2,1,1,1,0,0,4,1,2,26,1,
2,2,2,1,1,0,0,4,1,3,26,1,
2,2,1,2,1,0,1,4,2,4,26,1,
1,1,2,2,1,0,1,3,2,1,27,1,
1,1,2,2,1,0,1,3,2,2,27,1,
1,1,1,1,1,0,1,3,1,3,27,1,
1,1,1,2,0,0,0,4,1,1,28,1,
1,1,1,2,0,0,0,4,1,2,28,1,
1,1,1,1,0,0,0,4,1,3,28,1,
1,1,1,1,0,0,0,4,1,4,28,1,
1,2,2,1,0,1,1,5,2,1,29,1,
1,2,2,1,0,1,1,5,2,2,29,1,
1,2,1,2,0,1,1,5,1,3,29,1,
1,2,2,2,0,1,1,5,2,4,29,1,
1,2,2,1,0,1,0,5,2,5,29,1,
2,2,1,1,1,0,1,4,1,1,30,1,
2,2,1,1,1,0,1,4,1,2,30,1,
2,2,1,1,1,0,0,4,1,3,30,1,
2,2,1,2,1,0,1,4,2,4,30,1,
2,2,1,1,0,0,0,5,1,1,31,1,
2,2,1,1,0,0,0,5,1,2,31,1,
2,2,1,2,0,0,1,5,2,3,31,1,
2,2,1,2,0,0,0,5,2,4,31,1,
2,2,2,1,0,0,1,5,1,5,31,1,
1,2,2,1,1,1,0,3,2,1,32,1,
1,2,2,1,1,1,0,3,2,2,32,1,
1,2,1,1,1,1,1,3,1,3,32,1,
1,2,1,1,0,0,1,4,1,1,33,1,
1,2,1,1,0,0,1,4,1,2,33,1,
1,2,1,1,0,0,0,4,1,3,33,1,
1,2,1,2,0,0,0,4,1,4,33,1,
2,2,1,2,1,0,0,4,2,1,34,1,
2,2,1,2,1,0,0,4,2,2,34,1,
2,2,2,1,1,0,1,4,1,3,34,1,
2,2,2,1,1,0,0,4,1,4,34,1,
1,2,2,1,1,1,0,3,2,1,35,1,
1,2,2,1,1,1,0,3,2,2,35,1,
1,2,1,1,1,1,1,3,1,3,35,1,
2,2,2,1,1,0,1,5,1,1,36,1,
2,2,2,1,1,0,1,5,1,2,36,1,
2,2,1,2,1,0,1,5,2,3,36,1,
2,2,2,2,1,0,0,5,2,4,36,1,
2,2,1,1,1,0,1,5,1,5,36,1,
1,1,2,2,1,0,0,4,2,1,37,1,
1,1,2,2,1,0,0,4,2,2,37,1,
1,1,1,2,1,0,1,4,1,3,37,1,
1,1,1,2,1,0,0,4,1,4,37,1,
2,1,1,1,1,1,0,3,1,1,38,1,
2,1,1,1,1,1,0,3,1,2,38,1,
2,1,2,1,1,1,0,3,1,3,38,1,
1,2,2,1,1,1,0,3,2,1,39,1,
1,2,2,1,1,1,0,3,2,2,39,1,
1,2,1,2,1,1,1,3,1,3,39,1,
1,2,2,1,0,0,0,3,2,1,40,1,
1,2,2,1,0,0,0,3,2,2,40,1,
1,2,2,2,0,0,0,3,2,3,40,1,
2,1,1,2,1,0,1,5,2,1,41,1,
2,1,1,2,1,0,1,5,2,2,41,1,
2,1,1,2,1,0,0,5,2,3,41,1,
2,1,1,2,1,0,0,5,2,4,41,1,
2,1,2,1,1,0,1,5,1,5,41,1,
1,1,2,2,1,0,1,5,2,1,42,1,
1,1,2,2,1,0,1,5,2,2,42,1,
1,1,1,1,1,0,1,5,1,3,42,1,
1,1,2,2,1,0,1,5,2,4,42,1,
1,1,2,2,1,0,0,5,2,5,42,1,
2,1,2,1,1,1,1,3,1,1,43,1,
2,1,2,1,1,1,1,3,1,2,43,1,
2,1,1,1,1,1,0,3,1,3,43,1,
2,2,2,2,0,1,1,5,2,1,44,1,
2,2,2,2,0,1,1,5,2,2,44,1,
2,2,2,2,0,1,0,5,2,3,44,1,
2,2,2,2,0,1,0,5,2,4,44,1,
2,2,1,2,0,1,0,5,2,5,44,1,
1,1,2,1,1,1,1,5,2,1,45,1,
1,1,2,1,1,1,1,5,2,2,45,1,
1,1,1,1,1,1,1,5,1,3,45,1,
1,1,2,1,1,1,1,5,2,4,45,1,
1,1,2,1,1,1,0,5,2,5,45,1,
2,1,1,1,1,0,0,5,1,1,46,1,
2,1,1,1,1,0,0,5,1,2,46,1,
2,1,1,2,1,0,1,5,2,3,46,1,
2,1,2,2,1,0,0,5,2,4,46,1,
2,1,1,1,1,0,1,5,1,5,46,1,
1,2,2,1,1,0,0,4,2,1,47,1,
1,2,2,1,1,0,0,4,2,2,47,1,
1,2,1,2,1,0,1,4,1,3,47,1,
1,2,2,1,1,0,1,4,2,4,47,1,
2,1,2,2,1,0,0,3,2,1,48,1,
2,1,2,2,1,0,0,3,2,2,48,1,
2,1,1,2,1,0,0,3,2,3,48,1,
2,1,2,2,0,0,0,3,2,1,49,1,
2,1,2,2,0,0,0,3,2,2,49,1,
2,1,1,2,0,0,0,3,2,3,49,1,
1,2,1,2,1,0,1,5,1,1,50,1,
1,2,1,2,1,0,1,5,1,2,50,1,
1,2,2,2,1,0,1,5,2,3,50,1,
1,2,2,1,1,0,0,5,2,4,50,1,
1,2,1,2,1,0,1,5,1,5,50,1,
2,2,2,2,1,1,0,5,2,1,51,1,
2,2,2,2,1,1,0,5,2,2,51,1,
2,2,1,1,1,1,1,5,1,3,51,1,
2,2,2,1,1,1,0,5,1,4,51,1,
2,2,2,2,1,1,1,5,2,5,51,1,
1,1,2,2,1,0,0,5,2,1,52,1,
1,1,2,2,1,0,0,5,2,2,52,1,
1,1,2,2,1,0,0,5,2,3,52,1,
1,1,2,2,1,0,0,5,2,4,52,1,
1,1,1,1,1,0,1,5,1,5,52,1,
1,1,1,1,0,0,1,3,1,1,53,1,
1,1,1,1,0,0,1,3,1,2,53,1,
1,1,1,1,0,0,0,3,1,3,53,1,
2,1,1,2,1,0,0,4,2,1,54,1,
2,1,1,2,1,0,0,4,2,2,54,1,
2,1,2,1,1,0,1,4,1,3,54,1,
2,1,2,1,1,0,0,4,1,4,54,1,
1,2,1,1,1,0,0,5,1,1,55,1,
1,2,1,1,1,0,0,5,1,2,55,1,
1,2,1,1,1,0,0,5,1,3,55,1,
1,2,2,2,1,0,1,5,2,4,55,1,
1,2,2,1,1,0,0,5,2,5,55,1,
2,2,1,2,1,1,0,3,2,1,56,1,
2,2,1,2,1,1,0,3,2,2,56,1,
2,2,1,2,1,1,0,3,2,3,56,1,
2,1,1,2,0,1,0,5,2,1,57,1,
2,1,1,2,0,1,0,5,2,2,57,1,
2,1,1,2,0,1,0,5,2,3,57,1,
2,1,2,2,0,1,0,5,2,4,57,1,
2,1,2,2,0,1,0,5,2,5,57,1,
1,2,2,2,1,1,1,4,2,1,58,1,
1,2,2,2,1,1,1,4,2,2,58,1,
1,2,2,1,1,1,0,4,2,3,58,1,
1,2,1,2,1,1,1,4,1,4,58,1,
1,1,1,2,0,1,0,3,1,1,59,1,
1,1,1,2,0,1,0,3,1,2,59,1,
1,1,1,1,0,1,0,3,1,3,59,1,
2,2,1,1,1,1,1,3,1,1,60,1,
2,2,1,1,1,1,1,3,1,2,60,1,
2,2,2,1,1,1,0,3,1,3,60,1,
2,2,1,2,0,0,1,5,2,1,61,1,
2,2,1,2,0,0,1,5,2,2,61,1,
2,2,1,2,0,0,0,5,2,3,61,1,
2,2,1,1,0,0,1,5,1,4,61,1,
2,2,2,1,0,0,0,5,1,5,61,1,
1,1,1,2,1,1,0,3,1,1,62,1,
1,1,1,2,1,1,0,3,1,2,62,1,
1,1,1,1,1,1,0,3,1,3,62,1,
2,2,2,1,1,0,1,3,1,1,63,1,
2,2,2,1,1,0,1,3,1,2,63,1,
2,2,2,1,1,0,0,3,1,3,63,1,
2,1,2,2,0,1,1,5,2,1,64,1,
2,1,2,2,0,1,1,5,2,2,64,1,
2,1,1,1,0,1,1,5,1,3,64,1,
2,1,2,2,0,1,1,5,2,4,64,1,
2,1,2,1,0,1,1,5,1,5,64,1,
1,2,1,2,1,0,0,3,1,1,65,1,
1,2,1,2,1,0,0,3,1,2,65,1,
1,2,2,2,1,0,1,3,2,3,65,1,
1,1,1,2,0,1,1,3,1,1,66,1,
1,1,1,2,0,1,1,3,1,2,66,1,
1,1,1,1,0,1,0,3,1,3,66,1,
1,1,2,2,-1,-1,0,4,2,1,67,2,
1,1,2,2,-1,-1,0,4,2,2,67,2,
1,1,1,2,-1,-1,1,4,1,3,67,2,
1,1,2,2,-1,-1,1,4,2,4,67,2,
1,2,1,2,0,1,1,5,1,1,68,2,
1,2,1,2,0,1,1,5,1,2,68,2,
1,2,1,2,0,1,0,5,1,3,68,2,
1,2,1,2,0,1,0,5,1,4,68,2,
1,2,1,1,0,1,0,5,1,5,68,2,
2,2,1,2,1,1,1,5,2,1,69,2,
2,2,1,2,1,1,1,5,2,2,69,2,
2,2,1,2,1,1,0,5,2,3,69,2,
2,2,2,2,1,1,0,5,2,4,69,2,
2,2,2,1,1,1,1,5,1,5,69,2,
1,2,1,2,1,0,1,4,1,1,70,2,
1,2,1,2,1,0,1,4,1,2,70,2,
1,2,2,1,1,0,1,4,2,3,70,2,
1,2,1,1,1,0,1,4,1,4,70,2,
2,1,2,2,1,0,1,5,2,1,71,2,
2,1,2,2,1,0,1,5,2,2,71,2,
2,1,2,1,1,0,1,5,1,3,71,2,
2,1,2,2,1,0,1,5,2,4,71,2,
2,1,2,1,1,0,1,5,1,5,71,2,
1,2,2,2,1,0,1,4,2,1,72,2,
1,2,2,2,1,0,1,4,2,2,72,2,
1,2,2,1,1,0,0,4,2,3,72,2,
1,2,1,1,1,0,1,4,1,4,72,2,
1,1,1,2,0,1,1,5,1,1,73,2,
1,1,1,2,0,1,1,5,1,2,73,2,
1,1,2,2,0,1,1,5,2,3,73,2,
1,1,1,2,0,1,1,5,1,4,73,2,
1,1,1,1,0,1,0,5,1,5,73,2,
2,1,1,2,1,1,1,3,2,1,74,2,
2,1,1,2,1,1,1,3,2,2,74,2,
2,1,2,1,1,1,1,3,1,3,74,2,
1,1,2,2,1,1,1,3,2,1,75,2,
1,1,2,2,1,1,1,3,2,2,75,2,
1,1,1,1,1,1,1,3,1,3,75,2,
2,2,1,2,1,0,0,5,2,1,76,2,
2,2,1,2,1,0,0,5,2,2,76,2,
2,2,1,2,1,0,0,5,2,3,76,2,
2,2,1,2,1,0,0,5,2,4,76,2,
2,2,1,2,1,0,0,5,2,5,76,2,
1,1,1,2,1,1,1,4,1,1,77,2,
1,1,1,2,1,1,1,4,1,2,77,2,
1,1,2,2,1,1,1,4,2,3,77,2,
1,1,2,2,1,1,0,4,2,4,77,2,
1,1,1,1,0,0,1,3,1,1,78,2,
1,1,1,1,0,0,1,3,1,2,78,2,
1,1,2,1,0,0,1,3,2,3,78,2,
2,1,2,1,1,1,1,3,1,1,79,2,
2,1,2,1,1,1,1,3,1,2,79,2,
2,1,2,1,1,1,0,3,1,3,79,2,
1,1,2,2,1,0,0,3,2,1,80,2,
1,1,2,2,1,0,0,3,2,2,80,2,
1,1,2,2,1,0,0,3,2,3,80,2,
2,2,2,2,1,1,0,4,2,1,81,2,
2,2,2,2,1,1,0,4,2,2,81,2,
2,2,1,1,1,1,1,4,1,3,81,2,
2,2,2,1,1,1,0,4,1,4,81,2,
1,2,1,1,1,1,1,3,1,1,82,2,
1,2,1,1,1,1,1,3,1,2,82,2,
1,2,2,1,1,1,1,3,2,3,82,2,
2,1,1,1,1,1,0,5,1,1,83,2,
2,1,1,1,1,1,0,5,1,2,83,2,
2,1,2,1,1,1,0,5,1,3,83,2,
2,1,1,2,1,1,1,5,2,4,83,2,
2,1,1,2,1,1,0,5,2,5,83,2,
2,1,2,2,0,0,0,4,2,1,84,2,
2,1,2,2,0,0,0,4,2,2,84,2,
2,1,2,2,0,0,0,4,2,3,84,2,
2,1,1,1,0,0,1,4,1,4,84,2,
1,1,2,1,1,0,1,4,2,1,85,2,
1,1,2,1,1,0,1,4,2,2,85,2,
1,1,1,2,1,0,1,4,1,3,85,2,
1,1,2,2,1,0,1,4,2,4,85,2,
2,2,1,1,1,1,1,5,1,1,86,2,
2,2,1,1,1,1,1,5,1,2,86,2,
2,2,1,2,1,1,1,5,2,3,86,2,
2,2,1,2,1,1,0,5,2,4,86,2,
2,2,1,2,1,1,0,5,2,5,86,2,
1,2,2,1,1,1,0,4,2,1,87,2,
1,2,2,1,1,1,0,4,2,2,87,2,
1,2,1,2,1,1,1,4,1,3,87,2,
1,2,1,1,1,1,0,4,1,4,87,2,
2,2,1,1,1,0,0,4,1,1,88,2,
2,2,1,1,1,0,0,4,1,2,88,2,
2,2,2,1,1,0,0,4,1,3,88,2,
2,2,1,2,1,0,1,4,2,4,88,2,
1,2,1,2,1,0,1,5,1,1,89,2,
1,2,1,2,1,0,1,5,1,2,89,2,
1,2,1,1,1,0,0,5,1,3,89,2,
1,2,2,1,1,0,1,5,2,4,89,2,
1,2,1,2,1,0,1,5,1,5,89,2,
2,1,1,2,1,0,1,3,2,1,90,2,
2,1,1,2,1,0,1,3,2,2,90,2,
2,1,2,2,1,0,0,3,2,3,90,2,
1,2,2,1,1,1,1,3,2,1,91,2,
1,2,2,1,1,1,1,3,2,2,91,2,
1,2,2,2,1,1,0,3,2,3,91,2,
1,2,1,1,0,0,1,3,1,1,92,2,
1,2,1,1,0,0,1,3,1,2,92,2,
1,2,2,2,0,0,1,3,2,3,92,2,
2,1,2,1,1,1,0,5,1,1,93,2,
2,1,2,1,1,1,0,5,1,2,93,2,
2,1,2,1,1,1,0,5,1,3,93,2,
2,1,1,2,1,1,1,5,2,4,93,2,
2,1,2,2,1,1,0,5,2,5,93,2,
1,1,1,2,1,1,0,4,1,1,94,2,
1,1,1,2,1,1,0,4,1,2,94,2,
1,1,2,1,1,1,1,4,2,3,94,2,
1,1,2,2,1,1,0,4,2,4,94,2,
2,1,2,2,1,0,0,5,2,1,95,2,
2,1,2,2,1,0,0,5,2,2,95,2,
2,1,2,1,1,0,1,5,1,3,95,2,
2,1,2,2,1,0,1,5,2,4,95,2,
2,1,2,2,1,0,0,5,2,5,95,2,
2,2,2,2,0,1,0,4,2,1,96,2,
2,2,2,2,0,1,0,4,2,2,96,2,
2,2,1,2,0,1,0,4,2,3,96,2,
2,2,2,1,0,1,1,4,1,4,96,2,
1,2,1,1,1,0,0,3,1,1,97,2,
1,2,1,1,1,0,0,3,1,2,97,2,
1,2,2,2,1,0,1,3,2,3,97,2,
2,2,1,2,1,1,0,3,2,1,98,2,
2,2,1,2,1,1,0,3,2,2,98,2,
2,2,1,2,1,1,0,3,2,3,98,2,
1,1,2,2,1,0,1,5,2,1,99,2,
1,1,2,2,1,0,1,5,2,2,99,2,
1,1,2,2,1,0,0,5,2,3,99,2,
1,1,1,1,1,0,1,5,1,4,99,2,
1,1,1,2,1,0,0,5,1,5,99,2,
1,1,1,2,0,0,0,4,1,1,100,2,
1,1,1,2,0,0,0,4,1,2,100,2,
1,1,1,1,0,0,0,4,1,3,100,2,
1,1,2,1,0,0,1,4,2,4,100,2,
2,2,1,2,1,0,0,4,2,1,101,2,
2,2,1,2,1,0,0,4,2,2,101,2,
2,2,1,2,1,0,0,4,2,3,101,2,
2,2,2,1,1,0,1,4,1,4,101,2,
2,2,1,1,0,0,0,4,1,1,102,2,
2,2,1,1,0,0,0,4,1,2,102,2,
2,2,1,1,0,0,0,4,1,3,102,2,
2,2,1,2,0,0,1,4,2,4,102,2,
1,1,2,2,1,1,0,5,2,1,103,2,
1,1,2,2,1,1,0,5,2,2,103,2,
1,1,1,1,1,1,1,5,1,3,103,2,
1,1,2,1,1,1,1,5,2,4,103,2,
1,1,2,1,1,1,0,5,2,5,103,2,
2,1,1,2,1,1,1,3,2,1,104,2,
2,1,1,2,1,1,1,3,2,2,104,2,
2,1,2,1,1,1,1,3,1,3,104,2,
1,2,1,2,1,0,0,4,1,1,105,2,
1,2,1,2,1,0,0,4,1,2,105,2,
1,2,2,2,1,0,1,4,2,3,105,2,
1,2,1,1,1,0,1,4,1,4,105,2,
2,1,1,1,1,1,0,3,1,1,106,2,
2,1,1,1,1,1,0,3,1,2,106,2,
2,1,1,2,1,1,1,3,2,3,106,2,
1,1,2,2,1,0,1,5,2,1,107,2,
1,1,2,2,1,0,1,5,2,2,107,2,
1,1,2,2,1,0,0,5,2,3,107,2,
1,1,1,2,1,0,1,5,1,4,107,2,
1,1,1,1,1,0,0,5,1,5,107,2,
2,2,1,2,1,1,1,5,2,1,108,2,
2,2,1,2,1,1,1,5,2,2,108,2,
2,2,2,2,1,1,0,5,2,3,108,2,
2,2,1,2,1,1,0,5,2,4,108,2,
2,2,1,1,1,1,1,5,1,5,108,2,
2,1,2,2,0,1,1,4,2,1,109,2,
2,1,2,2,0,1,1,4,2,2,109,2,
2,1,2,1,0,1,1,4,1,3,109,2,
2,1,2,2,0,1,1,4,2,4,109,2,
1,2,2,1,1,1,0,3,2,1,110,2,
1,2,2,1,1,1,0,3,2,2,110,2,
1,2,2,1,1,1,0,3,2,3,110,2,
2,1,2,2,1,0,1,3,2,1,111,2,
2,1,2,2,1,0,1,3,2,2,111,2,
2,1,1,1,1,0,1,3,1,3,111,2,
2,1,2,2,0,0,1,5,2,1,112,2,
2,1,2,2,0,0,1,5,2,2,112,2,
2,1,1,1,0,0,1,5,1,3,112,2,
2,1,1,1,0,0,0,5,1,4,112,2,
2,1,1,1,0,0,0,5,1,5,112,2,
1,1,2,2,1,1,0,5,2,1,113,2,
1,1,2,2,1,1,0,5,2,2,113,2,
1,1,1,2,1,1,1,5,1,3,113,2,
1,1,1,2,1,1,0,5,1,4,113,2,
1,1,1,2,1,1,0,5,1,5,113,2,
2,2,2,1,1,0,1,4,1,1,114,2,
2,2,2,1,1,0,1,4,1,2,114,2,
2,2,2,1,1,0,0,4,1,3,114,2,
2,2,2,1,1,0,0,4,1,4,114,2,
2,2,1,2,0,0,1,3,2,1,115,2,
2,2,1,2,0,0,1,3,2,2,115,2,
2,2,1,2,0,0,0,3,2,3,115,2,
1,1,2,1,1,1,1,3,2,1,116,2,
1,1,2,1,1,1,1,3,2,2,116,2,
1,1,1,2,1,1,1,3,1,3,116,2,
2,2,1,2,1,1,0,3,2,1,117,2,
2,2,1,2,1,1,0,3,2,2,117,2,
2,2,2,1,1,1,1,3,1,3,117,2,
1,2,2,1,1,1,0,3,2,1,118,2,
1,2,2,1,1,1,0,3,2,2,118,2,
1,2,1,2,1,1,1,3,1,3,118,2,
2,2,2,1,1,0,1,3,1,1,119,2,
2,2,2,1,1,0,1,3,1,2,119,2,
2,2,2,1,1,0,0,3,1,3,119,2,
1,1,1,2,1,0,0,3,1,1,120,2,
1,1,1,2,1,0,0,3,1,2,120,2,
1,1,1,2,1,0,0,3,1,3,120,2,
2,1,1,1,1,0,0,5,1,1,121,2,
2,1,1,1,1,0,0,5,1,2,121,2,
2,1,1,2,1,0,1,5,2,3,121,2,
2,1,1,1,1,0,1,5,1,4,121,2,
2,1,1,2,1,0,1,5,2,5,121,2,
2,2,2,2,0,1,1,3,2,1,122,2,
2,2,2,2,0,1,1,3,2,2,122,2,
2,2,1,1,0,1,1,3,1,3,122,2,
2,1,1,2,0,1,0,4,2,1,123,2,
2,1,1,2,0,1,0,4,2,2,123,2,
2,1,2,2,0,1,0,4,2,3,123,2,
2,1,1,1,0,1,1,4,1,4,123,2,
1,2,2,1,1,0,0,5,2,1,124,2,
1,2,2,1,1,0,0,5,2,2,124,2,
1,2,1,2,1,0,1,5,1,3,124,2,
1,2,2,1,1,0,1,5,2,4,124,2,
1,2,1,1,1,0,1,5,1,5,124,2,
2,2,1,1,1,0,1,5,1,1,125,2,
2,2,1,1,1,0,1,5,1,2,125,2,
2,2,1,2,1,0,1,5,2,3,125,2,
2,2,1,2,1,0,0,5,2,4,125,2,
2,2,2,1,1,0,1,5,1,5,125,2,
1,1,2,2,1,0,0,5,2,1,126,2,
1,1,2,2,1,0,0,5,2,2,126,2,
1,1,1,1,1,0,1,5,1,3,126,2,
1,1,1,2,1,0,0,5,1,4,126,2,
1,1,1,2,1,0,0,5,1,5,126,2,
1,2,2,1,0,1,1,3,2,1,127,2,
1,2,2,1,0,1,1,3,2,2,127,2,
1,2,1,2,0,1,1,3,1,3,127,2,
2,1,1,2,1,0,0,5,2,1,128,2,
2,1,1,2,1,0,0,5,2,2,128,2,
2,1,2,1,1,0,1,5,1,3,128,2,
2,1,1,1,1,0,0,5,1,4,128,2,
2,1,1,2,1,0,1,5,2,5,128,2,
1,2,2,2,1,1,1,4,2,1,129,2,
1,2,2,2,1,1,1,4,2,2,129,2,
1,2,2,2,1,1,0,4,2,3,129,2,
1,2,1,2,1,1,1,4,1,4,129,2,
1,1,1,2,0,1,0,4,1,1,130,2,
1,1,1,2,0,1,0,4,1,2,130,2,
1,1,2,1,0,1,1,4,2,3,130,2,
1,1,1,1,0,1,1,4,1,4,130,2,
1,2,1,1,0,1,0,5,1,1,131,2,
1,2,1,1,0,1,0,5,1,2,131,2,
1,2,1,2,0,1,0,5,1,3,131,2,
1,2,1,1,0,1,0,5,1,4,131,2,
1,2,1,2,0,1,0,5,1,5,131,2,
1,2,2,1,0,0,0,5,2,1,132,2,
1,2,2,1,0,0,0,5,2,2,132,2,
1,2,1,2,0,0,1,5,1,3,132,2,
1,2,1,2,0,0,0,5,1,4,132,2,
1,2,2,1,0,0,1,5,2,5,132,2,

