Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,Block
1,1,2,1,1,1,1,1,2,1,178,2
1,2,2,1,0,1,0,1,2,1,179,2
2,1,2,2,1,1,0,1,2,1,180,2
1,2,2,2,1,0,0,1,2,1,181,2
2,1,2,2,1,0,0,1,2,1,182,2
1,1,1,1,1,1,1,1,1,1,183,2
2,2,1,1,1,1,0,1,1,1,184,2
1,2,2,2,1,0,1,1,2,1,185,2
1,2,2,2,0,0,0,1,2,1,186,2
2,1,2,2,1,1,0,1,2,1,187,2
1,1,1,1,1,1,1,1,1,1,188,2
2,2,2,2,1,1,1,1,2,1,189,2
1,1,2,2,1,0,0,1,2,1,190,2
2,2,1,1,1,0,1,1,1,1,191,2
1,1,2,2,1,1,1,1,2,1,192,2
2,2,2,2,1,0,0,1,2,1,193,2
2,1,2,2,0,1,0,1,2,1,194,2
2,1,2,2,0,0,0,1,2,1,195,2
1,1,2,2,1,0,0,1,2,1,196,2
2,1,2,1,1,1,1,1,1,1,197,2
1,2,2,2,1,0,1,1,2,1,198,2
2,1,1,2,1,0,0,1,2,1,199,2
1,2,2,2,1,0,0,1,2,1,200,2
1,1,2,2,0,1,0,1,2,1,201,2
2,1,1,2,1,0,0,1,2,1,202,2
1,1,2,2,1,0,0,1,2,1,203,2
1,2,1,1,0,1,1,1,1,1,204,2
2,2,1,1,1,1,0,1,1,1,205,2
1,2,2,1,1,0,1,1,2,1,206,2
2,2,2,1,1,0,1,1,1,1,207,2
2,2,1,1,0,0,0,1,1,1,208,2
1,2,2,2,1,1,1,1,2,1,209,2
2,2,1,2,1,1,0,1,2,1,210,2
1,1,2,1,1,0,0,1,2,1,211,2
2,1,2,1,1,1,1,1,1,1,212,2
1,1,1,2,1,1,0,1,1,1,213,2
2,1,2,1,1,0,0,1,1,1,214,2
2,1,1,1,0,0,0,1,1,1,215,2
1,2,2,2,1,0,1,1,2,1,216,2
2,1,1,1,1,1,1,1,1,1,217,2
1,1,2,2,1,0,1,1,2,1,218,2
1,2,2,2,0,1,0,1,2,1,219,2
2,1,2,2,1,0,0,1,2,1,220,2
1,2,1,2,1,0,1,1,1,1,221,2
2,2,2,2,1,0,1,1,2,1,222,2
1,1,1,1,1,0,1,1,1,1,223,2
2,2,1,1,1,1,0,1,1,1,224,2
1,1,2,1,1,0,1,1,2,1,225,2
1,1,2,2,0,0,0,1,2,1,226,2
2,2,1,1,1,0,1,1,1,1,227,2
1,1,1,1,1,0,0,1,1,1,228,2
2,2,1,1,1,0,0,1,1,1,229,2
2,1,1,1,0,1,0,1,1,1,230,2
1,2,2,2,1,1,1,1,2,1,231,2
2,1,1,1,1,1,1,1,1,1,232,2
2,2,1,1,0,1,0,1,1,1,233,2
1,2,1,1,1,0,0,1,1,1,234,2
2,2,2,2,1,0,1,1,2,1,235,2
1,2,2,2,1,0,0,1,2,1,236,2
2,2,2,1,1,0,1,1,1,1,237,2
1,2,2,2,1,1,1,1,2,1,238,2
1,1,2,2,0,1,0,1,2,1,239,2
2,2,2,1,1,1,1,1,1,1,240,2
1,2,1,2,1,0,0,1,1,1,241,2
2,1,1,1,1,0,0,1,1,1,242,2
2,1,2,2,0,0,1,1,2,1,243,2
2,1,1,2,0,0,0,1,2,1,244,2
2,2,2,2,0,1,0,1,2,1,245,2
2,2,2,1,0,0,1,1,1,1,246,2
1,2,1,1,1,0,0,1,1,1,247,2
2,1,1,1,1,0,0,1,1,1,248,2
2,2,1,2,0,1,1,1,2,1,249,2
1,2,2,1,1,1,0,1,2,1,250,2
2,1,2,2,1,0,0,1,2,1,251,2
1,2,1,1,1,1,1,1,1,1,252,2
1,2,2,2,0,0,1,1,2,1,253,2
2,1,1,1,1,1,1,1,1,1,254,2
1,2,1,1,1,1,0,1,1,1,255,2
1,2,1,1,0,0,0,1,1,1,256,2
1,1,2,2,0,1,1,1,2,1,257,2
1,2,2,2,0,1,0,1,2,1,258,2
2,1,2,2,1,1,0,1,2,1,259,2
1,2,1,1,1,1,1,1,1,1,260,2
